date,shares,amount,buy_flag
2004-09-01,1234.0,52452.66,0
2004-12-29,8685.0,388023.4,0
2005-03-29,254515.0,11245296.1088,0
2005-03-30,45485.0,2002153.1558,0
2005-06-13,300000.0,13652358.1316,0
2005-08-30,1700.0,75820.0,1
2005-09-07,11665.0,531042.15,0
2005-09-08,11000.0,506000.0,0
2005-09-15,100000.0,4456978.75,0
2005-09-19,135000.0,6051891.839999999,0
2005-09-20,165000.0,7391999.999999999,0
2005-09-22,3000.0,134257.0,1
2005-11-21,45000.0,2382730.84,0
2005-11-22,49893.0,2669266.85,0
2005-12-02,100000.0,5334240.991200001,0
2005-12-14,239000.0,13098778.36,0
2005-12-21,45000.0,2385172.0363,0
2006-01-03,1000.0,54250.0,1
2006-03-06,2000.0,96940.0,1
2006-03-27,100000.0,5191605.333399999,0
2006-03-28,194200.0,10026064.4064,0
2006-03-29,5800.0,298716.0,0
2006-12-05,100000.0,3102083.5876999996,0
2006-12-06,400000.0,12499056.0884,0
2006-12-07,400000.0,12320494.64,0
2007-01-03,659360.0,19781570.149999995,0
2007-01-04,340640.0,10132351.950000001,0
2007-02-20,2594.0,79142.94,0
2007-02-27,497406.0,14956882.31,0
2007-05-22,578407.0,17897612.51,0
2007-05-23,36593.0,1134388.0,0
2007-05-25,409212.0,12410776.819999998,0
2007-05-29,3000.0,91860.0,0
2007-08-27,654567.0,17941981.44,0
2007-09-20,15000.0,446435.0,0
2007-09-21,10000.0,300000.0,0
2007-09-24,8596.0,255733.0,0
2007-09-26,11404.0,337052.2,0
2007-11-20,500000.0,14595990.32,0
2007-11-28,30000.0,900000.0,0
2007-12-27,6867.0,219744.0,0
2007-12-28,100.0,3200.0,0
2008-01-02,289382.0,9063976.98,0
2008-02-26,500000.0,13809918.84,0
2008-05-23,500000.0,13879870.159999998,0
2008-06-05,168300.0,5049292.98,0
2008-08-25,15656.0,482940.63200000004,0
2008-08-26,837566.0,25379809.9584,0
2008-09-25,20000.0,630896.0,0
2008-09-26,25000.0,799410.0,0
2008-11-24,6874.0,158102.0,0
2008-12-03,328453.0,7554419.0,0
2008-12-04,164673.0,3787479.0,0
2009-02-24,500000.0,11592200.0,0
2009-05-26,500000.0,13691309.6,0
2009-06-04,134900.0,3718343.13,0
2009-06-05,236933.0,6580292.8224,0
2009-06-08,159867.0,4465117.2834,0
2009-06-18,100000.0,2772680.0,0
2009-07-01,370000.0,10547960.0,0
2009-07-02,80000.0,2232216.0,0
2009-07-30,145029.0,4350870.0,0
2009-08-04,250.0,7500.0,0
2009-08-07,304721.0,9153940.728400001,0
2009-08-25,500000.0,14166100.0,0
2009-09-09,50000.0,1400570.0,0
2009-10-19,54371.0,1631130.0,0
2009-10-21,78394.0,2352172.773,0
2009-10-22,117235.0,3522782.7915,0
2009-11-23,125000.0,3732300.0,0
2009-11-24,511776.0,15083003.2,0
2009-12-01,50000.0,1471110.0,0
2009-12-07,5165.0,153002.795,0
2010-02-22,50000.0,1620795.0,0
2010-02-23,300000.0,9553740.0,0
2010-03-09,10400.0,353600.0,0
2010-03-10,24600.0,845916.0,0
2010-05-24,65000.0,2259605.0,0
2010-05-25,300000.0,10269013.1208,0
2010-05-27,69461.0,2431148.8922,0
2010-06-01,160000.0,5664336.0,0
2010-06-03,201000.0,7362971.7,0
2010-06-21,2998.0,113030.59599999999,0
2010-06-24,41900.0,1530150.29,0
2010-06-25,80200.0,2929689.96,0
2010-06-28,92900.0,3361976.68,0
2010-06-29,600.0,21310.980000000003,0
2010-06-30,19400.0,680940.0,0
2010-08-23,193970.0,8348945.119999999,0
2010-08-24,300000.0,12833755.91,0
2010-09-03,140000.0,6180300.0,0
2010-09-16,30000.0,1335000.0,0
2010-09-30,13913.0,612172.0,0
2010-11-22,328411.0,14732466.2663,0
2010-11-23,360834.0,16069378.0708,0
2010-12-20,15000.0,749455.5,0
2010-12-21,40000.0,1988378.0,0
2010-12-22,4527.0,227121.4008,0
2011-02-22,700000.0,37033892.0131,0
2011-05-23,600000.0,31817371.470000003,0
2011-05-26,11654.0,625304.6932,0
2011-06-15,100000.0,4971000.0,0
2011-06-16,313063.0,15412091.489999998,0
2011-06-17,172173.0,8534615.61,0
2011-06-20,227821.0,11288530.549999999,0
2011-06-21,6.0,296.28000000000003,0
2011-06-29,20000.0,1030956.0,0
2011-08-22,382689.0,16900522.928099997,0
2011-08-23,217311.0,9568442.372100001,0
2011-09-06,722405.0,34068619.8,0
2011-09-07,1533036.0,72895861.8,0
2011-09-08,782275.0,37001607.5,0
2011-09-09,34398.0,1617049.98,0
2011-09-12,50000.0,2334605.0,0
2011-09-13,1337195.0,62348352.910000004,0
2011-09-14,1225333.0,57296571.08,0
2011-09-27,31787.0,1559897.7491000001,0
2011-09-29,2275.0,112043.75,0
2011-11-21,618360.0,31358776.224300005,0
2011-12-01,100.0,5301.0,0
2011-12-02,85408.0,4528379.4,0
2011-12-05,50556.0,2729407.7,0
2011-12-09,72500.0,3854310.25,0
2011-12-19,229870.0,11813019.3,0
2011-12-20,1087066.0,57761214.12,0
2011-12-21,436300.0,23136989.0,0
2011-12-22,320900.0,17062253.0,0
2011-12-23,450000.0,23854500.0,0
2011-12-27,274681.0,14607535.58,0
2011-12-28,200000.0,10506000.0,0
2011-12-29,375086.0,19767032.2,0
2011-12-30,194037.0,10250974.709999999,0
2012-01-03,177551.0,9431455.0,0
2012-02-23,640000.0,37708356.2,0
2012-02-24,6670.0,387104.122,0
2012-02-29,20000.0,1160000.0,0
2012-03-13,4087.0,242032.13999999998,0
2012-05-21,369711.0,20178132.7097,0
2012-06-06,15000.0,862504.5,0
2012-06-14,20000.0,1147960.0,0
2012-06-19,10673.0,627052.6249,0
2012-08-23,302393.0,17594947.3156,0
2012-08-27,22686.0,1344145.5,0
2012-09-06,31764.0,1874076.0,0
2012-09-10,175000.0,10438820.0,0
2012-09-17,120000.0,7220484.0,0
2012-09-18,22331.0,1344290.4704,0
2012-09-19,47669.0,2796613.9101,0
2012-09-20,28000.0,1638000.0,0
2012-09-21,600.0,35406.0,0
2012-09-24,49400.0,2875327.0,0
2012-11-19,250000.0,14705068.0,0
2012-11-30,40000.0,2386384.0,0
2012-12-06,10000.0,598156.0,0
2012-12-10,14000.0,837422.6,0
2012-12-11,10000.0,605581.0,0
2012-12-20,266666.0,16519932.0334,0
2012-12-21,133333.0,8225019.4374,0
2012-12-26,22504.0,1372120.6391999999,0
2012-12-27,193640.0,11678314.324000001,0
2012-12-28,68992.0,4136546.4447999997,0
2012-12-31,189865.0,11244963.4765,0
2013-02-25,140000.0,8769513.324,0
2013-02-26,14000.0,871707.2000000001,0
2013-03-04,20000.0,1310586.0000000002,0
2013-03-05,2782.0,188107.15559999997,0
2013-08-22,180877.0,11388589.0651,0
2013-08-26,28255.0,1821961.2503999998,0
2013-08-29,4867.0,310184.78780000005,0
2013-09-09,166311.0,10860731.84,0
2013-09-16,5998.0,397087.9932,0
2013-09-25,23323.0,1544726.6036999999,0
2013-11-25,34000.0,2451999.0,0
2013-11-26,15000.0,1093027.5,0
2013-12-13,8226.0,617691.1626,0
2014-02-24,100000.0,7773179.934999999,0
2014-03-12,10000.0,806830.0000000001,0
2014-05-22,8111.0,628996.2841,0
2014-05-23,18000.0,1429371.0,0
2014-06-03,75000.0,5945220.0,0
2014-06-05,1921.0,152712.1929,0
2014-06-12,75000.0,5917972.5,0
2014-06-25,40000.0,3219184.0,0
2014-06-26,30000.0,2414700.0,0
2014-06-27,30425.0,2464425.0,0
2014-08-25,44847.0,3699994.3896999997,0
2014-08-26,2794.0,232209.34,0
2014-08-27,10000.0,825361.9999999999,0
2014-09-03,20245.0,1671226.3704,0
2014-09-05,8538.0,712475.2605,0
2014-09-10,13274.0,1115038.5658,0
2014-09-17,2900.0,243600.0,0
2014-09-24,84679.0,7328317.3844,0
2014-09-30,7500.0,664358.25,0
2014-11-24,171255.0,15832352.761,0
2014-11-25,1307.0,121172.1007,0
2014-11-26,330000.0,30432758.0,0
2014-12-01,35245.0,3313383.9725,0
2014-12-02,6000.0,559575.0,0
2014-12-10,7500.0,697500.0,0
2014-12-11,783.0,73348.3561,0
2014-12-16,22500.0,2092500.0,0
2014-12-29,1353.0,127016.52810000001,0
2015-01-02,11500.0,1053020.6124,0
2015-02-23,185000.0,17791209.5,0
2015-02-24,1833.0,176627.51340000003,0
2015-02-25,871.0,84959.1691,0
2015-03-24,917.0,91718.34,0
2015-03-25,436.0,43447.4,0
2015-05-26,47046.0,4926906.945499999,0
2015-06-01,10408.0,1105498.8016,0
2015-06-24,916.0,95575.44,0
2015-06-25,436.0,45064.96,0
2015-08-24,6987.0,589920.6903,0
2015-08-25,436.0,37809.92,0
2015-09-03,4221.0,363830.3613,0
2015-09-08,5000.0,434269.00000000006,0
2015-09-17,237.0,20630.85,0
2015-09-24,916.0,79536.28,0
2015-11-23,156076.0,15921453.468100002,0
2015-11-24,917.0,91736.68000000001,0
2015-11-30,7500.0,750509.25,0
2015-12-10,5000.0,487659.49999999994,0
2015-12-24,917.0,89774.3,0
2016-01-04,10000.0,935276.0000000001,0
2016-02-29,1833.0,174813.21000000002,0
2016-03-08,100868.0,10092720.9516,0
2016-03-09,527.0,52701.0013,0
2016-03-10,17776.0,1779132.2912,0
2016-03-11,22179.0,2217900.0,0
2016-03-24,917.0,92965.45999999999,0
2016-03-29,9355.0,959729.4500000001,0
2016-05-26,5575.0,585375.0,0
2016-05-27,10627.0,1140262.9225,0
2016-06-17,60000.0,6307200.0,0
2016-06-20,10056.0,1079142.5448,0
2016-06-24,2787.0,289457.82,0
2016-08-25,28950.0,3185813.6118,0
2016-09-07,48637.0,5421521.0225,0
2016-09-09,18567.0,2038354.4107000001,0
2016-09-26,1871.0,204294.49,0
2016-11-21,41585.0,4803120.62,0
2016-11-29,3742.0,432537.78,0
2016-12-28,1871.0,218682.47999999998,0
2017-02-27,103445.0,13042946.5,0
2017-03-01,3742.0,468624.5054,0
2017-03-02,8651.0,1083431.1838,0
2017-03-28,1871.0,222181.25,0
2017-05-25,16686.0,2283001.8804,0
2017-05-26,3742.0,516101.5046,0
2017-05-30,74052.0,10327177.0328,0
2017-05-31,39230.0,5502019.269,0
2017-06-21,15684.0,2203551.8112000003,0
2017-06-28,1871.0,253130.7707,0
2017-08-24,297035.0,40155390.662700005,0
2017-08-25,1297.0,177686.8974,0
2017-08-31,5350.0,750337.5,0
2017-09-06,100283.0,14168468.1126,0
2017-09-07,113880.0,16066832.1413,0
2017-09-11,1868.0,265838.56399999995,0
2017-09-12,200792.0,28338395.5913,0
2017-09-19,151165.0,21953674.4631,0
2017-09-20,32168.0,4663899.9764,0
2017-09-22,28048.0,4100337.12,0
2017-09-27,1783.0,257108.59999999998,0
2017-11-22,331343.0,50154463.0091,0
2017-11-24,25527.0,3888573.997900001,0
2017-11-28,13424.0,2088254.0573,0
2017-12-07,102585.0,15910792.909799999,0
2017-12-08,80748.0,12510962.7092,0
2017-12-18,112731.0,18145853.807899997,0
2017-12-19,38263.0,6136141.858100001,0
2017-12-20,108838.0,17323647.011600003,0
2017-12-21,75895.0,12045101.8148,0
2017-12-27,2158.0,342982.1616,0
2018-02-26,129622.0,22275901.592199996,0
2018-02-27,139249.0,23892868.7347,0
2018-02-28,107463.0,18201214.0135,0
2018-03-07,93485.0,15888788.9034,0
2018-03-08,66071.0,11277063.2782,0
2018-03-09,145261.0,25450361.3075,0
2018-03-12,61849.0,10971914.576299999,0
2018-03-15,116942.0,20744785.278,0
2018-03-16,97330.0,17382836.8088,0
2018-05-24,109454.0,21549346.9831,0
2018-05-29,233425.0,45868916.5971,0
2018-06-06,100000.0,20811584.3826,0
2018-06-19,100000.0,20941336.3254,0
2018-06-25,3941.0,796914.5803,0
2018-08-27,131396.0,27810793.061799996,0
2018-08-28,4554.0,979360.0146,0
2018-08-30,9292.0,2034025.9757000003,0
2018-09-06,19018.0,4162193.899,0
2018-09-07,100000.0,22029824.9168,0
2018-09-14,254325.0,57898402.242,0
2018-09-19,100000.0,22158275.194200005,0
2018-09-21,3651.0,808851.4732,0
2018-11-21,161836.0,31960243.9951,0
2018-11-23,76000.0,14933587.967,0
2018-11-26,5029.0,1010382.0074,0
2018-11-27,7302.0,1444448.1631,0
2018-11-28,22418.0,4609867.3675,0
2018-12-21,3650.0,689649.1946,0
2019-02-25,923.0,228073.3,0
2019-02-27,4083.0,1016508.1712999999,0
2019-03-12,85603.0,21513301.6449,0
2019-05-28,10628.0,2723657.8404,0
2019-06-07,103817.0,26845923.9274,0
2019-06-10,29517.0,7723574.5099,0
2019-06-19,88031.0,22996482.5325,0
2019-06-20,45303.0,12052604.7826,0
2019-08-26,23546.0,6529597.5016,0
2019-08-29,6854.0,1962494.1682000002,0
2019-09-04,3855.0,1101065.1,0
2019-09-05,2500.0,726854.0557,0
2019-09-09,133333.0,37136893.8588,0
2019-09-19,75502.0,20415519.141000003,0
2019-09-20,57831.0,15616665.5454,0
2019-11-25,341943.0,88150529.69259998,0
2019-12-09,73357.0,18785316.936399996,0
2019-12-10,59976.0,15256804.6636,0
2019-12-20,112022.0,29815234.566600002,0
2019-12-23,21311.0,5697125.3527,0
2020-01-02,47.0,12270.759999999998,0
2020-02-26,2409.0,689648.5199999999,0
2020-05-26,18337.0,5265753.6,0
2020-08-27,201453.0,69514372.79370001,0
2020-08-28,22884.0,7901129.6695,0
2020-09-01,10978.0,3803120.8664999995,0
2020-09-02,20708.0,7233181.5461,0
2020-09-10,16332.0,5369878.6729,0
2020-09-11,18661.0,6003874.0025,0
2020-09-14,29204.0,9355279.4496,0
2020-09-15,19781.0,6372533.5927,0
2020-11-23,1000.0,348070.0,0
2020-12-29,4093.0,1549462.834,0
2021-01-04,710.0,269253.30000000005,0
2021-02-25,364.0,148286.32,0
2021-03-02,2253.0,909107.6482,0
2021-05-27,168912.0,72889763.3132,0
2021-05-28,327.0,142245.0,0
2021-06-17,665.0,316054.55,0
2021-06-25,1100.0,531386.46,0
2021-08-26,16976.0,9371338.264999999,0
2021-08-27,1220.0,676624.2000000001,0
2021-08-31,31487.0,17776562.118600003,0
2021-09-02,11365.0,6393449.742400002,0
2021-09-29,389.0,214467.37000000002,0
2021-11-22,36950.0,25352050.084900003,0
2021-11-23,433.0,282640.75,0
2021-12-30,4992.0,3224904.3845000006,0
2022-01-03,620.0,396818.6,0
2022-01-04,479.0,302474.13,0
2022-01-05,15000.0,9112077.107,0
2022-02-28,368.0,176213.12,0
2022-03-02,59286.0,28162549.933,0
2022-05-26,984.0,380109.36000000004,0
2022-06-23,11790.0,4622635.8780000005,0
2022-08-25,25112.0,11629056.5069,0
2022-09-02,8702.0,3726916.0508999997,0
2022-09-09,14206.0,6398625.639599999,0
2022-12-01,2489.0,1019633.45,0
2022-12-14,9000.0,3852000.0,0
2023-01-09,597.0,238800.0,0
2023-02-27,807.0,340053.66000000003,0
2023-03-03,1744.0,710432.0032,0
2023-03-07,5039.0,2079226.6059,0
2023-05-25,1269.0,530949.6,0
2023-07-03,56547.0,25505684.8666,0
2023-08-28,8287.0,4295539.4924,0
2023-08-29,18042.0,9582704.446800001,0
2023-09-05,26739.0,14689125.2345,0
2023-09-06,1717.0,939856.2908999999,0
2023-09-11,8702.0,4808986.26,0
2023-09-29,2307.0,1207899.06,0
2023-10-03,1054.0,538899.66,0
2023-10-05,1938.0,1001017.698,0
2023-12-04,34.0,19333.08,0
2023-12-06,93641.0,53283722.1449,0
2023-12-22,1631.0,1015977.6270000001,0
2024-01-05,14771.0,8708918.752799999,0
2024-01-08,14772.0,8841269.3158,0
2024-01-09,3964.0,2377113.3958,0
2024-02-26,745.0,488071.85,0
2024-02-27,3692.0,2450892.4804000002,0
2024-03-20,280.092,178245.50788,0
2024-05-28,76880.0,45975309.05239999,0
2024-05-29,75000.0,45035830.8736,0
2024-05-30,14748.0,8368023.072299999,0
2024-06-10,75000.0,42581163.05709999,0
2024-06-11,75000.0,42491748.84,0
2024-06-12,27309.0,16198687.1595,0
2024-07-02,965.0,628215.0,0
2024-07-03,1527.0,994489.29,0
2024-08-26,75032.0,46438085.227000006,0
2024-08-27,6449.0,4008665.7686,0
2024-09-03,11079.0,6997640.0643,0
2024-09-04,862.0,535327.86,0
2024-09-10,2941.438,1849468.8519130002,0
2024-09-17,75000.0,48456865.6724,0
2024-09-18,2461.0,1568122.9731,0
2024-09-19,2988.0,1941799.608,0
2024-09-20,30158.861,19372869.364807498,0
2024-10-03,775.0,466015.24999999994,0
2024-10-10,3999.892,2469055.333706,0
2024-11-25,75000.0,48136222.064399995,0
2024-11-26,3164.0,2017349.328,0
2024-12-05,13458.84,8702763.525487999,0
2024-12-06,16181.0,10529369.4566,0
2024-12-09,960.0,625712.64,0
2024-12-10,7700.0,5063808.38,0
2024-12-12,23810.0,15856967.3846,0
2024-12-18,73655.0,48975955.2869,0
2024-12-30,75000.0,47312256.7654,0
2024-12-31,75000.0,47257202.227900006,0
2025-01-02,26562.0,16624911.4575,0
2025-01-03,471.961,296627.08488,0
2025-01-07,4787.637,2937790.8554405,0
2025-01-08,1300.0,814350.29,0
2025-01-10,1078.407,667838.3804799999,0
2025-02-27,75000.0,45865314.3737,0
2025-02-28,6446.0,3895086.0154999997,0
2025-03-10,75000.0,43771543.0586,0
2025-03-11,8963.0,5245839.646799999,0
2025-03-20,1702.0,1021200.0,0
2025-03-21,7385.0,4431934.941000001,0
2025-03-24,8163.0,4999470.165,0
2025-05-27,130721.597,96145385.70915261,0
2025-05-28,16185.0,12190701.384599999,0
2025-05-29,25648.0,19293653.495100003,0
2025-06-03,34329.0,26118930.8078,0
2025-06-05,1458.8339999999998,1124465.3990526,0
2025-06-09,62816.0,48116585.6673,0
2025-06-27,1738.347,1363014.7626848998,0
2025-07-02,2764.897,2139752.8707824,0
2025-07-03,2591.0,2026744.4567999998,0
2025-07-08,1214.999,950661.4812622999,0
2025-07-09,333.0,260629.11,0
2025-07-10,333.0,255887.18999999997,0
2025-08-25,571.0,379709.29000000004,0
2025-09-09,333.0,222880.22999999998,0
2025-09-10,333.0,222906.87,0
2025-09-11,333.0,220163.43009999997,0
2025-10-03,1170.0,792160.2,0
